Stage framework_pass [13/134]: 11ms; RSS 230 MiB
Stage string_literal_pass [13/134]: 9ms; RSS 231 MiB
Stage param_flow_pass [13/134]: 2ms; RSS 231 MiB
Stage route_pass [13/134]: 10ms; RSS 233 MiB
Batch 13/134: 13 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/codecamp-advantage/tsconfig.json in 194ms; RSS 233 MiB
Stage primary_extraction [14/134]: 597ms; RSS 265 MiB
Stage schema_pass [14/134]: 75ms; RSS 273 MiB
Stage framework_pass [14/134]: 24ms; RSS 280 MiB
Stage string_literal_pass [14/134]: 29ms; RSS 281 MiB
Stage param_flow_pass [14/134]: 7ms; RSS 281 MiB
Stage route_pass [14/134]: 103ms; RSS 280 MiB
Batch 14/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 978ms; RSS 280 MiB
Stage primary_extraction [15/134]: 620ms; RSS 252 MiB
Stage schema_pass [15/134]: 21ms; RSS 253 MiB
Stage framework_pass [15/134]: 56ms; RSS 264 MiB
Stage string_literal_pass [15/134]: 62ms; RSS 273 MiB
Stage param_flow_pass [15/134]: 4ms; RSS 273 MiB
Stage route_pass [15/134]: 30ms; RSS 272 MiB
Batch 15/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 881ms; RSS 272 MiB
Stage primary_extraction [16/134]: 129ms; RSS 242 MiB
Stage schema_pass [16/134]: 15ms; RSS 244 MiB
Stage framework_pass [16/134]: 17ms; RSS 247 MiB
Stage string_literal_pass [16/134]: 12ms; RSS 249 MiB
Stage param_flow_pass [16/134]: 2ms; RSS 249 MiB
Stage route_pass [16/134]: 36ms; RSS 255 MiB
Batch 16/134: 20 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 245ms; RSS 255 MiB
Stage primary_extraction [17/134]: 880ms; RSS 265 MiB
Stage schema_pass [17/134]: 57ms; RSS 277 MiB
Stage framework_pass [17/134]: 80ms; RSS 293 MiB
Stage string_literal_pass [17/134]: 47ms; RSS 293 MiB
Stage param_flow_pass [17/134]: 8ms; RSS 293 MiB
Stage route_pass [17/134]: 55ms; RSS 290 MiB
Batch 17/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1281ms; RSS 290 MiB
Stage primary_extraction [18/134]: 825ms; RSS 274 MiB
Stage schema_pass [18/134]: 31ms; RSS 278 MiB
Stage framework_pass [18/134]: 82ms; RSS 291 MiB
Stage string_literal_pass [18/134]: 45ms; RSS 291 MiB
Stage param_flow_pass [18/134]: 2ms; RSS 291 MiB
Stage route_pass [18/134]: 39ms; RSS 289 MiB
Batch 18/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1153ms; RSS 289 MiB
Stage primary_extraction [19/134]: 167ms; RSS 299 MiB
Stage schema_pass [19/134]: 4ms; RSS 298 MiB
Stage framework_pass [19/134]: 11ms; RSS 297 MiB
Stage string_literal_pass [19/134]: 6ms; RSS 297 MiB
Stage param_flow_pass [19/134]: 4ms; RSS 297 MiB
Stage route_pass [19/134]: 9ms; RSS 298 MiB
Batch 19/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 233ms; RSS 298 MiB
Stage primary_extraction [20/134]: 556ms; RSS 291 MiB
Stage schema_pass [20/134]: 40ms; RSS 298 MiB
Stage framework_pass [20/134]: 50ms; RSS 299 MiB
Stage string_literal_pass [20/134]: 27ms; RSS 289 MiB
Stage param_flow_pass [20/134]: 9ms; RSS 289 MiB
Stage route_pass [20/134]: 58ms; RSS 297 MiB
Batch 20/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 824ms; RSS 298 MiB
Stage primary_extraction [21/134]: 1380ms; RSS 302 MiB
Stage schema_pass [21/134]: 38ms; RSS 302 MiB
Stage framework_pass [21/134]: 151ms; RSS 323 MiB
Stage string_literal_pass [21/134]: 58ms; RSS 323 MiB
Stage param_flow_pass [21/134]: 5ms; RSS 323 MiB
Stage route_pass [21/134]: 115ms; RSS 324 MiB
Batch 21/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1917ms; RSS 324 MiB
Stage primary_extraction [22/134]: 873ms; RSS 289 MiB
Stage schema_pass [22/134]: 67ms; RSS 296 MiB
Stage framework_pass [22/134]: 176ms; RSS 310 MiB
Stage string_literal_pass [22/134]: 56ms; RSS 310 MiB
Stage param_flow_pass [22/134]: 8ms; RSS 310 MiB
Stage route_pass [22/134]: 89ms; RSS 317 MiB
Batch 22/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1396ms; RSS 317 MiB
Stage primary_extraction [23/134]: 1827ms; RSS 334 MiB
Stage schema_pass [23/134]: 91ms; RSS 354 MiB
Stage framework_pass [23/134]: 235ms; RSS 367 MiB
Stage string_literal_pass [23/134]: 163ms; RSS 382 MiB
Stage param_flow_pass [23/134]: 5ms; RSS 382 MiB
Stage route_pass [23/134]: 122ms; RSS 387 MiB
Batch 23/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 2648ms; RSS 388 MiB
Stage primary_extraction [24/134]: 1365ms; RSS 312 MiB
Stage schema_pass [24/134]: 91ms; RSS 317 MiB
Stage framework_pass [24/134]: 105ms; RSS 330 MiB
Stage string_literal_pass [24/134]: 116ms; RSS 339 MiB
Stage param_flow_pass [24/134]: 7ms; RSS 339 MiB
Stage route_pass [24/134]: 85ms; RSS 339 MiB
Batch 24/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1972ms; RSS 339 MiB
Stage primary_extraction [25/134]: 1863ms; RSS 335 MiB
Stage schema_pass [25/134]: 50ms; RSS 335 MiB
Stage framework_pass [25/134]: 162ms; RSS 375 MiB
Stage string_literal_pass [25/134]: 140ms; RSS 381 MiB
