Stage param_flow_pass [13/133]: 2ms; RSS 248 MiB
Stage route_pass [13/133]: 9ms; RSS 248 MiB
Batch 13/133: 13 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/codecamp-advantage/tsconfig.json in 223ms; RSS 248 MiB
Stage primary_extraction [14/133]: 719ms; RSS 249 MiB
Stage schema_pass [14/133]: 103ms; RSS 255 MiB
Stage framework_pass [14/133]: 24ms; RSS 259 MiB
Stage string_literal_pass [14/133]: 37ms; RSS 262 MiB
Stage param_flow_pass [14/133]: 6ms; RSS 262 MiB
Stage route_pass [14/133]: 93ms; RSS 262 MiB
Batch 14/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/marketing/tsconfig.json in 1202ms; RSS 262 MiB
Stage primary_extraction [15/133]: 864ms; RSS 245 MiB
Stage schema_pass [15/133]: 35ms; RSS 245 MiB
Stage framework_pass [15/133]: 81ms; RSS 256 MiB
Stage string_literal_pass [15/133]: 59ms; RSS 264 MiB
Stage param_flow_pass [15/133]: 6ms; RSS 264 MiB
Stage route_pass [15/133]: 75ms; RSS 263 MiB
Batch 15/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/marketing/tsconfig.json in 1295ms; RSS 263 MiB
Stage primary_extraction [16/133]: 374ms; RSS 227 MiB
Stage schema_pass [16/133]: 22ms; RSS 228 MiB
Stage framework_pass [16/133]: 19ms; RSS 231 MiB
Stage string_literal_pass [16/133]: 15ms; RSS 233 MiB
Stage param_flow_pass [16/133]: 4ms; RSS 233 MiB
Stage route_pass [16/133]: 42ms; RSS 239 MiB
Batch 16/133: 20 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/marketing/tsconfig.json in 529ms; RSS 239 MiB
Stage primary_extraction [17/133]: 1165ms; RSS 255 MiB
Stage schema_pass [17/133]: 56ms; RSS 262 MiB
Stage framework_pass [17/133]: 89ms; RSS 275 MiB
Stage string_literal_pass [17/133]: 74ms; RSS 286 MiB
Stage param_flow_pass [17/133]: 12ms; RSS 287 MiB
Stage route_pass [17/133]: 153ms; RSS 291 MiB
Batch 17/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 1771ms; RSS 291 MiB
Stage primary_extraction [18/133]: 1561ms; RSS 259 MiB
Stage schema_pass [18/133]: 72ms; RSS 266 MiB
Stage framework_pass [18/133]: 339ms; RSS 290 MiB
Stage string_literal_pass [18/133]: 74ms; RSS 293 MiB
Stage param_flow_pass [18/133]: 4ms; RSS 293 MiB
Stage route_pass [18/133]: 83ms; RSS 299 MiB
Batch 18/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 2394ms; RSS 299 MiB
Stage primary_extraction [19/133]: 632ms; RSS 245 MiB
Stage schema_pass [19/133]: 26ms; RSS 246 MiB
Stage framework_pass [19/133]: 19ms; RSS 248 MiB
Stage string_literal_pass [19/133]: 16ms; RSS 249 MiB
Stage param_flow_pass [19/133]: 4ms; RSS 250 MiB
Stage route_pass [19/133]: 20ms; RSS 253 MiB
Batch 19/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 837ms; RSS 254 MiB
Stage primary_extraction [20/133]: 1069ms; RSS 281 MiB
Stage schema_pass [20/133]: 26ms; RSS 278 MiB
Stage framework_pass [20/133]: 52ms; RSS 279 MiB
Stage string_literal_pass [20/133]: 57ms; RSS 286 MiB
Stage param_flow_pass [20/133]: 11ms; RSS 286 MiB
Stage route_pass [20/133]: 76ms; RSS 294 MiB
Batch 20/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 1401ms; RSS 293 MiB
Stage primary_extraction [21/133]: 2551ms; RSS 295 MiB
Stage schema_pass [21/133]: 122ms; RSS 295 MiB
Stage framework_pass [21/133]: 222ms; RSS 315 MiB
Stage string_literal_pass [21/133]: 107ms; RSS 316 MiB
Stage param_flow_pass [21/133]: 7ms; RSS 316 MiB
Stage route_pass [21/133]: 228ms; RSS 317 MiB
Batch 21/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 3506ms; RSS 318 MiB
Stage primary_extraction [22/133]: 1939ms; RSS 278 MiB
Stage schema_pass [22/133]: 94ms; RSS 290 MiB
Stage framework_pass [22/133]: 317ms; RSS 298 MiB
Stage string_literal_pass [22/133]: 98ms; RSS 301 MiB
Stage param_flow_pass [22/133]: 13ms; RSS 302 MiB
Stage route_pass [22/133]: 174ms; RSS 310 MiB
Batch 22/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 2885ms; RSS 310 MiB
Stage primary_extraction [23/133]: 3283ms; RSS 327 MiB
Stage schema_pass [23/133]: 162ms; RSS 348 MiB
Stage framework_pass [23/133]: 442ms; RSS 368 MiB
Stage string_literal_pass [23/133]: 264ms; RSS 379 MiB
Stage param_flow_pass [23/133]: 10ms; RSS 379 MiB
Stage route_pass [23/133]: 204ms; RSS 379 MiB
Batch 23/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 4731ms; RSS 379 MiB
Stage primary_extraction [24/133]: 2338ms; RSS 307 MiB
Stage schema_pass [24/133]: 347ms; RSS 321 MiB
Stage framework_pass [24/133]: 241ms; RSS 332 MiB
Stage string_literal_pass [24/133]: 254ms; RSS 335 MiB
Stage param_flow_pass [24/133]: 12ms; RSS 335 MiB
Stage route_pass [24/133]: 203ms; RSS 335 MiB
Batch 24/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 3694ms; RSS 336 MiB
Stage primary_extraction [25/133]: 2420ms; RSS 324 MiB
Stage schema_pass [25/133]: 80ms; RSS 328 MiB
Stage framework_pass [25/133]: 378ms; RSS 350 MiB
Stage string_literal_pass [25/133]: 136ms; RSS 351 MiB
Stage param_flow_pass [25/133]: 7ms; RSS 351 MiB
Stage route_pass [25/133]: 211ms; RSS 352 MiB
Batch 25/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 3703ms; RSS 352 MiB
Stage primary_extraction [26/133]: 903ms; RSS 286 MiB
Stage schema_pass [26/133]: 43ms; RSS 293 MiB
Stage framework_pass [26/133]: 97ms; RSS 307 MiB
Stage string_literal_pass [26/133]: 97ms; RSS 309 MiB
Stage param_flow_pass [26/133]: 77ms; RSS 309 MiB
Stage route_pass [26/133]: 65ms; RSS 309 MiB
Batch 26/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 1456ms; RSS 309 MiB
Stage primary_extraction [27/133]: 320ms; RSS 271 MiB
Stage schema_pass [27/133]: 31ms; RSS 272 MiB
Stage framework_pass [27/133]: 19ms; RSS 273 MiB
Stage string_literal_pass [27/133]: 11ms; RSS 274 MiB
Stage param_flow_pass [27/133]: 6ms; RSS 274 MiB
Stage route_pass [27/133]: 35ms; RSS 278 MiB
